Wall time,Step,Value
1736449819.448368,60000,1204.8685302734375
1736449848.2682936,80000,1204.8685302734375
1736449917.731,130000,1203.4080810546875
1736449954.7160907,160000,1202.7861328125
1736450021.0533543,210000,1201.0526123046875
1736450050.1199138,230000,1200.80615234375
1736450074.6148582,250000,1201.5455322265625
1736450118.5851555,280000,1199.95166015625
1736450128.8561575,290000,1200.59521484375
1736450146.6562583,300000,1200.8502197265625
1736450195.882111,340000,1203.1011962890625
1736450334.5988986,440000,1206.9356689453125
1736450353.354308,450000,1208.465087890625
1736450373.2975104,470000,1208.9619140625
1736450428.0122828,510000,1207.595703125
1736450472.347081,540000,1208.3272705078125
1736450498.3636968,560000,1208.572509765625
1736450510.5075135,570000,1207.6962890625
1736450535.9719315,590000,1207.5714111328125
1736450570.3156025,610000,1209.81201171875
1736450596.230425,630000,1210.5538330078125
1736450632.9301054,660000,1212.3128662109375
1736450650.8070304,670000,1211.96826171875
1736450662.2579331,680000,1211.460205078125
1736450677.1877773,690000,1212.365478515625
1736450688.2219923,700000,1213.1131591796875
1736450744.8962889,740000,1211.95556640625
1736450772.163769,760000,1212.441650390625
1736450796.6234565,780000,1213.528564453125
1736450808.4145584,790000,1214.1304931640625
1736450826.002451,800000,1214.8050537109375
1736450839.240677,810000,1214.2158203125
1736450883.7402875,840000,1214.9921875
1736450893.2581985,850000,1215.221435546875
1736450908.0929112,860000,1215.7327880859375
1736450919.8961892,870000,1215.6571044921875
1736450990.453681,920000,1211.4942626953125
1736451056.8836668,970000,1215.68115234375
1736451069.1663198,980000,1215.8785400390625
1736451084.0113661,990000,1215.253662109375
1736451094.4817836,1000000,1214.8388671875
1736451117.2860081,1010000,1215.05615234375
1736451126.908703,1020000,1214.69482421875
1736451200.1255212,1070000,1216.8568115234375
1736451318.084864,1160000,1223.1474609375
1736451355.13379,1190000,1222.2235107421875
1736451375.3422997,1200000,1222.490966796875
1736451480.1164794,1280000,1225.34716796875
1736451526.027285,1310000,1224.5479736328125
1736451550.0069742,1330000,1226.9423828125
1736451580.4583547,1350000,1228.7991943359375
1736451644.6045034,1400000,1224.771484375
1736451659.3527603,1410000,1225.809326171875
1736451674.4531221,1420000,1223.4876708984375
1736451713.5912726,1450000,1221.7110595703125
1736451728.046806,1460000,1221.7891845703125
1736451822.3955534,1530000,1227.5013427734375
1736451851.3379622,1550000,1224.5283203125
1736451878.4334478,1570000,1223.4346923828125
1736451887.2595952,1580000,1223.067626953125
1736451904.1788254,1590000,1222.456298828125
1736451914.5824256,1600000,1221.470703125
1736451998.405586,1660000,1218.85595703125
1736452035.662082,1690000,1214.8343505859375
1736452082.6654031,1720000,1217.5205078125
1736452109.4174526,1740000,1216.9498291015625
1736452120.5476334,1750000,1219.436279296875
1736452135.5002577,1760000,1220.6861572265625
1736452172.60152,1790000,1222.884521484375
1736452202.7093248,1810000,1222.5401611328125
1736452214.3680093,1820000,1221.43896484375
1736452241.017662,1840000,1220.015380859375
1736452257.1483274,1850000,1222.849609375
1736452293.5322754,1880000,1222.6175537109375
1736452364.2743907,1930000,1217.203369140625
1736452377.413194,1940000,1217.0152587890625
1736452392.685388,1950000,1220.330810546875
1736452419.564144,1970000,1220.66455078125
1736452459.2959642,2000000,1228.610595703125
1736452488.6271408,2020000,1232.2811279296875
1736452498.0286756,2030000,1232.6806640625
1736452527.1784246,2050000,1234.323974609375
1736452556.4008908,2070000,1236.6561279296875
1736452572.9829137,2080000,1240.0675048828125
1736452662.1177108,2150000,1243.5902099609375
1736452774.5081215,2230000,1265.974365234375
1736452784.4304957,2240000,1265.078369140625
1736452799.503219,2250000,1266.2972412109375
1736452857.6611118,2290000,1276.535888671875
1736452894.1708753,2320000,1270.542236328125
1736452933.2788422,2350000,1279.247802734375
1736452951.774716,2360000,1279.7528076171875
1736452988.0992098,2390000,1283.811767578125
1736453004.5849743,2400000,1289.738037109375
1736453034.2358027,2420000,1289.835205078125
1736453045.4780936,2430000,1290.248291015625
1736453060.9202309,2440000,1290.3133544921875
1736453089.2752469,2460000,1286.8192138671875
1736453131.004809,2490000,1285.0771484375
1736453146.4887,2500000,1282.55859375
1736453159.9887266,2510000,1286.2666015625
1736453203.4438462,2540000,1290.876708984375
1736453312.319651,2620000,1318.262451171875
1736453342.1466372,2640000,1312.8226318359375
1736453370.325109,2660000,1318.90673828125
1736453454.6310115,2720000,1313.5968017578125
1736453498.5652072,2750000,1315.7418212890625
1736453510.3845093,2760000,1316.53955078125
1736453527.7877119,2770000,1315.0682373046875
1736453539.6063163,2780000,1310.01611328125
1736453567.5471637,2800000,1308.3394775390625
1736453624.799475,2840000,1325.41845703125
1736453653.1317575,2860000,1321.52099609375
1736453682.0248075,2880000,1314.2694091796875
1736453710.3963468,2900000,1319.653564453125
1736453780.7478766,2950000,1335.3856201171875
1736453809.7372797,2970000,1339.7705078125
1736453866.470448,3010000,1350.38916015625
1736453942.9287307,3060000,1353.1839599609375
1736453971.1065247,3080000,1342.4649658203125
1736453982.7521045,3090000,1339.2611083984375
1736454058.608636,3140000,1325.059814453125
1736454070.4904432,3150000,1325.4232177734375
1736454088.026945,3160000,1334.7672119140625
1736454112.0067008,3180000,1335.232666015625
1736454128.55558,3190000,1336.0987548828125
1736454140.535226,3200000,1344.5704345703125
1736454198.2484791,3240000,1346.1591796875
1736454215.5557132,3250000,1342.7103271484375
1736454244.5290442,3270000,1342.251708984375
1736454285.3365827,3300000,1351.556640625
1736454345.0894942,3340000,1350.836669921875
1736454362.1607401,3350000,1348.765869140625
1736454375.2342908,3360000,1349.0972900390625
1736454391.0565913,3370000,1352.1707763671875
1736454420.7366023,3390000,1364.4774169921875
1736454462.416971,3420000,1354.396484375
1736454480.2389688,3430000,1356.271728515625
1736454491.8679888,3440000,1364.3094482421875
1736454539.3012762,3470000,1374.3546142578125
