Wall time,Step,Value
1737059063.375055,60000,1203.9599609375
1737059123.828592,80000,1203.9542236328125
1737059157.38742,90000,1203.8841552734375
1737059215.5877812,110000,1204.153564453125
1737059267.671801,130000,1202.9677734375
1737059315.073261,150000,1201.145263671875
1737059354.9611058,160000,1199.88232421875
1737059372.465746,170000,1199.255859375
1737059422.176341,190000,1197.8807373046875
1737059459.465558,200000,1197.8807373046875
1737059495.67262,210000,1197.8807373046875
1737059532.416776,220000,1197.8807373046875
1737059558.288755,230000,1198.3963623046875
1737059572.7113442,240000,1197.528564453125
1737059612.952184,250000,1196.5379638671875
1737059663.331637,270000,1195.0318603515625
1737059712.951948,290000,1193.9166259765625
1737059743.573798,300000,1195.095703125
1737059888.696958,350000,1189.89404296875
1737059903.3958862,360000,1189.338623046875
1737059934.731749,370000,1189.7095947265625
1737059964.697621,380000,1189.427490234375
1737059986.2523258,390000,1188.5771484375
1737060053.950645,410000,1188.4356689453125
1737060147.090346,440000,1188.65234375
1737060170.7725508,450000,1189.362060546875
1737060229.586396,470000,1191.15478515625
1737060255.0006762,480000,1191.324951171875
1737060288.159322,490000,1191.223388671875
1737060301.801855,500000,1189.8765869140625
1737060363.353321,520000,1190.5762939453125
1737060418.648778,540000,1192.30078125
1737060448.1880178,550000,1192.260009765625
1737060524.0125508,580000,1191.1400146484375
1737060566.104106,590000,1189.0789794921875
1737060582.184953,600000,1188.1463623046875
1737060627.974106,610000,1188.946044921875
1737060659.312187,620000,1189.1563720703125
1737060738.6509702,650000,1185.6630859375
1737060765.513749,660000,1184.39990234375
1737060838.563353,690000,1185.0391845703125
1737060891.3929348,710000,1184.1103515625
1737060931.0849369,720000,1184.56787109375
1737060949.206163,730000,1186.3150634765625
1737060983.563383,740000,1187.9473876953125
1737061009.933304,750000,1189.4556884765625
1737061108.189041,790000,1187.86474609375
1737061147.6567092,800000,1186.8988037109375
1737061183.0570729,810000,1188.89453125
1737061206.019409,820000,1189.6346435546875
1737061262.992109,840000,1189.6346435546875
1737061352.827643,870000,1186.86279296875
1737061368.580599,880000,1187.88427734375
1737061460.796129,910000,1187.148193359375
1737061470.705336,920000,1185.633544921875
1737061531.888473,940000,1185.253173828125
1737061558.90927,950000,1185.886474609375
1737061586.9454541,960000,1185.4898681640625
1737061605.663046,970000,1183.9244384765625
1737061662.607815,990000,1184.426513671875
1737061695.385605,1000000,1184.67578125
1737061763.390841,1020000,1184.67578125
1737061778.360398,1030000,1183.77587890625
1737061814.324558,1040000,1184.5325927734375
1737061833.2001631,1050000,1185.7081298828125
1737061991.125309,1110000,1184.7001953125
1737062072.517824,1140000,1183.4525146484375
1737062123.362902,1160000,1182.6165771484375
1737062162.798908,1170000,1181.512451171875
1737062176.9966989,1180000,1181.3026123046875
1737062377.690101,1250000,1182.69384765625
1737062519.303264,1300000,1180.9608154296875
1737062682.087342,1360000,1180.5850830078125
1737062712.177637,1370000,1179.959228515625
1737062720.583658,1380000,1179.2222900390625
1737062842.723412,1420000,1175.028076171875
1737062893.142775,1440000,1174.2996826171875
1737062929.7468202,1450000,1174.0572509765625
1737062951.072833,1460000,1174.0572509765625
1737063009.333174,1480000,1173.3079833984375
1737063111.368008,1520000,1174.3392333984375
1737063219.075767,1560000,1177.152099609375
1737063364.029057,1610000,1177.2852783203125
1737063394.505861,1620000,1176.379638671875
1737063451.476353,1640000,1178.14404296875
1737063491.971313,1660000,1179.8968505859375
1737063551.173523,1680000,1180.623291015625
1737063577.649995,1690000,1180.447021484375
1737063598.3524458,1700000,1178.8809814453125
1737063660.8829582,1720000,1179.143798828125
1737063684.703535,1730000,1179.8968505859375
1737063737.3123462,1750000,1179.7606201171875
1737063762.0029912,1760000,1180.251220703125
1737063800.089776,1770000,1180.741455078125
1737063874.479425,1800000,1180.273681640625
1737063909.252904,1810000,1180.0208740234375
1737063967.816118,1830000,1180.7698974609375
1737064047.780279,1860000,1181.01904296875
1737064064.949934,1870000,1181.01904296875
1737064118.737493,1890000,1179.6500244140625
1737064207.888596,1920000,1177.2762451171875
1737064286.464858,1950000,1176.7808837890625
1737064415.023505,2000000,1175.0380859375
1737064452.546301,2010000,1175.0380859375
1737064536.186335,2040000,1175.802490234375
1737064584.6721401,2060000,1175.5693359375
1737064665.735242,2090000,1176.06884765625
1737064772.880666,2130000,1175.0731201171875
1737064907.8449469,2180000,1173.1217041015625
1737064931.2137651,2190000,1173.7125244140625
1737065003.995751,2210000,1173.3829345703125
1737065108.947566,2250000,1173.1329345703125
1737065226.888248,2290000,1171.9332275390625
1737065326.297601,2330000,1171.1949462890625
1737065399.633686,2360000,1170.96875
1737065504.157113,2400000,1170.0135498046875
1737065539.1539211,2410000,1169.5323486328125
1737065576.628536,2420000,1170.042724609375
1737065629.840748,2440000,1170.2940673828125
1737065707.544888,2470000,1169.41748046875
1737065736.3103218,2480000,1168.8072509765625
1737066030.968229,2590000,1170.2606201171875
1737066210.2050931,2650000,1169.127685546875
1737066317.24971,2690000,1167.6385498046875
1737066442.6432111,2740000,1167.390625
1737066502.905777,2760000,1168.14794921875
1737066917.148582,2910000,1170.3997802734375
